F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1850.0, 1897.0, 3.717551306747922)
F(1829.2185819968804, 1883.5043893513625, 3.717551306747922)
F(1792.0461864138354, 1859.3643534023915, 3.717551306747922)
F(1754.5012791771017, 1834.836971406194, 3.719877973414589)
F(1716.8006440027257, 1810.2289940726419, 3.719877973414589)
F(1716.8006440027257, 1810.2289940726419, 3.719877973414589)
F(1679.3922618141976, 1785.8117762533034, 3.719877973414589)
F(1641.771186835617, 1761.4013841126934, 3.717551306747922)
F(1604.2262795988834, 1736.8740021164958, 3.719877973414589)
F(1566.6052046203029, 1712.463609975886, 3.717551306747922)
F(1566.6052046203029, 1712.463609975886, 3.717551306747922)
F(1529.0602973835692, 1687.9362279796883, 3.719877973414589)
F(1491.4392224049886, 1663.5258358390784, 3.717551306747922)
F(1491.4392224049886, 1663.5258358390784, 3.717551306747922)
F(1453.894315168255, 1638.9984538428807, 3.719877973414589)
F(1416.2732401896744, 1614.5880617022708, 3.717551306747922)
F(1378.7283329529407, 1590.0606797060732, 3.719877973414589)
F(1341.1072579743602, 1565.6502875654633, 3.717551306747922)
F(1303.5623507376265, 1541.1229055692656, 3.719877973414589)
F(1303.5623507376265, 1541.1229055692656, 3.719877973414589)
F(1265.941275759046, 1516.7125134286557, 3.717551306747922)
F(1228.3963685223123, 1492.185131432458, 3.719877973414589)
F(1190.6957333479363, 1467.577154098906, 3.719877973414589)
F(1190.6957333479363, 1467.577154098906, 3.719877973414589)
F(1153.2873511594082, 1443.1599362795675, 3.719877973414589)
F(1115.6662761808277, 1418.7495441389576, 3.717551306747922)
F(1078.121368944094, 1394.22216214276, 3.719877973414589)
F(1040.420733769718, 1369.614184809208, 3.719877973414589)
F(1040.420733769718, 1369.614184809208, 3.719877973414589)
F(1003.0123515811899, 1345.1969669898695, 3.719877973414589)
F(965.3912766026093, 1320.7865748492595, 3.717551306747922)
F(927.8463693658758, 1296.259192853062, 3.719877973414589)
F(927.8463693658758, 1296.259192853062, 3.719877973414589)
F(890.2252943872951, 1271.848800712452, 3.717551306747922)
F(852.6803871505616, 1247.3214187162544, 3.719877973414589)
F(814.9797519761858, 1222.7134413827023, 3.719877973414589)
F(776.986863815962, 1197.9147045349366, 3.719877973414589)
F(776.986863815962, 1197.9147045349366, 3.719877973414589)
F(739.3657888373813, 1173.5043123943267, 3.717551306747922)
F(701.8208816006478, 1148.976930398129, 3.719877973414589)
F(664.1998066220671, 1124.5665382575191, 3.717551306747922)
F(664.1998066220671, 1124.5665382575191, 3.717551306747922)
F(626.6548993853336, 1100.0391562613215, 3.719877973414589)
F(589.0338244067528, 1075.6287641207116, 3.717551306747922)
F(551.4889171700194, 1051.101382124514, 3.719877973414589)
F(551.4889171700194, 1051.101382124514, 3.719877973414589)
F(513.8678421914386, 1026.690989983904, 3.717551306747922)
F(476.3229349547051, 1002.1636079877063, 3.719877973414589)
F(438.3067569592329, 978.369217032488, 3.703591306747922)
F(398.06119613278656, 959.1944362487211, 3.6035446400812554)
F(398.06119613278656, 959.1944362487211, 3.6035446400812554)
F(355.6671868421582, 943.8121919162786, 3.5058246400812556)
F(312.1068630693468, 932.8107995792305, 3.405777973414589)
F(267.8577062745628, 926.1325039713767, 3.308057973414589)
F(223.16808849547257, 923.8032182366348, 3.2103379734145894)
F(223.16808849547257, 923.8032182366348, 3.2103379734145894)
F(178.64077364214484, 925.9701553130926, 3.1102913067479228)
F(133.85714775809876, 932.6303165953236, 3.010244640081256)
F(90.99207495414312, 943.5413779792488, 2.9101979734145895)
F(48.68527910943347, 958.6411327106513, 2.814804640081256)
F(48.68527910943347, 958.6411327106513, 2.814804640081256)
F(9.372109799868273, 982.1626900448441, 2.6309979734145896)
F(-23.663297474955897, 1012.4501491140754, 2.4332313067479228)
F(-50.176364697971664, 1047.669169116108, 2.2494246400812563)
F(-50.176364697971664, 1047.669169116108, 2.2494246400812563)
F(-69.4766078549526, 1084.1045832055208, 2.09353797341459)
F(-83.11622804782533, 1124.1282326649766, 1.93299797341459)
F(-90.4478574349986, 1165.0414954886153, 1.7817646400812566)
F(-90.4478574349986, 1165.0414954886153, 1.7817646400812566)
F(-91.39111762173118, 1206.4289125027403, 1.6282046400812566)
F(-86.70559379353233, 1246.8250886299638, 1.4886046400812567)
F(-75.01885162337769, 1287.648983128671, 1.32573797341459)
F(-57.529066799511284, 1325.5531466243747, 1.17217797341459)
F(-57.529066799511284, 1325.5531466243747, 1.17217797341459)
F(-34.606950539734, 1360.026101430341, 1.0186179734145901)
F(-6.294002926022635, 1390.7195439420082, 0.8604046400812568)
F(26.344512209121316, 1416.7454063343891, 0.7068446400812569)
F(26.344512209121316, 1416.7454063343891, 0.7068446400812569)
F(61.3443610390262, 1444.2396460872856, 0.6719446400812569)
F(96.51762962294467, 1472.0614667344973, 0.6696179734145902)
F(131.60412311735385, 1499.9926410970065, 0.6719446400812569)
F(166.2918609590963, 1527.5841102935271, 0.6719446400812569)
F(166.2918609590963, 1527.5841102935271, 0.6719446400812569)
